,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,44.89,81,0,4.61,ZA,1627791686
1,salalah,17.0151,54.0924,77.09,100,90,5.75,OM,1627791687
2,arraial do cabo,-22.9661,-42.0278,66.4,61,100,13.44,BR,1627791687
3,ushuaia,-54.8,-68.3,46.06,49,40,25.32,AR,1627791687
4,mount pleasant,32.7941,-79.8626,84.97,93,40,5.01,US,1627791688
5,de-kastri,51.4667,140.7833,53.83,91,100,7.81,RU,1627791688
6,bandarbeyla,9.4942,50.8122,78.51,64,80,23.22,SO,1627791689
7,vardo,70.3705,31.1107,48.63,91,100,9.53,NO,1627791690
8,fukuma,33.7667,130.4667,89.29,77,100,4.65,JP,1627791690
9,mar del plata,-38.0023,-57.5575,47.12,29,7,7.0,AR,1627791691
10,esperance,-33.8667,121.9,50.83,80,97,20.4,AU,1627791692
11,vanavara,60.34,102.2797,73.09,59,100,4.74,RU,1627791692
12,bluff,-46.6,168.3333,48.79,90,96,1.9,NZ,1627791693
13,guerrero negro,27.9769,-114.0611,72.61,80,7,14.32,MX,1627791693
14,punta arenas,-53.15,-70.9167,46.51,66,40,19.57,CL,1627791441
15,malangali,-8.5667,34.85,55.89,87,34,9.95,TZ,1627791694
16,lasa,46.6166,10.7002,59.02,96,100,2.57,IT,1627791696
17,bose,45.4612,8.0137,65.28,88,100,2.75,IT,1627791696
18,luderitz,-26.6481,15.1594,67.86,26,0,13.56,NA,1627791697
19,rikitea,-23.1203,-134.9692,70.12,73,26,16.96,PF,1627791697
20,lebu,-37.6167,-73.65,46.09,81,3,16.49,CL,1627791697
21,hermanus,-34.4187,19.2345,55.8,87,62,9.04,ZA,1627791698
22,bredasdorp,-34.5322,20.0403,55.27,93,99,6.91,ZA,1627791698
23,touros,-5.1989,-35.4608,74.3,90,50,13.82,BR,1627791699
24,airai,-8.9266,125.4092,77.63,35,53,4.56,TL,1627791699
25,tiksi,71.6872,128.8694,45.79,76,51,9.73,RU,1627791699
26,richards bay,-28.783,32.0377,56.84,68,30,7.99,ZA,1627791700
27,ponta do sol,32.6667,-17.1,70.43,68,13,8.46,PT,1627791701
28,pisco,-13.7,-76.2167,62.65,82,90,6.91,PE,1627791701
29,axim,4.8699,-2.2405,75.43,89,91,5.99,GH,1627791702
30,jamestown,42.097,-79.2353,61.34,92,40,1.99,US,1627791601
31,wanning,18.8003,110.3967,91.78,59,100,10.69,CN,1627791702
32,port lincoln,-34.7333,135.8667,58.15,61,23,15.32,AU,1627791703
33,batemans bay,-35.7167,150.1833,61.99,85,100,8.19,AU,1627791703
34,vaini,-21.2,-175.2,75.36,73,20,25.32,TO,1627791703
35,hilo,19.7297,-155.09,80.33,73,90,8.05,US,1627791470
36,clyde river,70.4692,-68.5914,37.63,93,90,4.61,CA,1627791704
37,sotouboua,8.5667,0.9833,69.98,95,99,3.31,TG,1627791705
38,saint-philippe,-21.3585,55.7679,71.15,81,36,12.41,RE,1627791705
39,dzilam gonzalez,21.2833,-88.9333,76.96,89,55,5.39,MX,1627791707
40,butaritari,3.0707,172.7902,82.38,72,15,8.61,KI,1627791707
41,constitucion,-35.3333,-72.4167,50.86,71,0,5.5,CL,1627791707
42,cidreira,-30.1811,-50.2056,55.38,89,100,11.18,BR,1627791708
43,ati,13.2154,18.3353,77.88,80,100,6.13,TD,1627791708
44,faya,18.3851,42.4509,63.12,63,29,6.04,SA,1627791709
45,pangoa,-12.1167,-73.0,62.82,81,2,2.77,PE,1627791710
46,kahului,20.8947,-156.47,80.62,69,20,26.46,US,1627791711
47,nizwa,22.9333,57.5333,90.66,42,57,2.51,OM,1627791711
48,khatanga,71.9667,102.5,71.71,52,100,4.14,RU,1627791712
49,victoria,22.2855,114.1577,91.26,85,100,1.99,HK,1627791629
50,castro,-24.7911,-50.0119,42.93,97,100,5.14,BR,1627791712
51,sumedang,-6.8592,107.9207,86.27,53,28,5.03,ID,1627791713
52,atuona,-9.8,-139.0333,77.2,67,80,14.29,PF,1627791714
53,honiara,-9.4333,159.95,80.2,81,97,0.89,SB,1627791715
54,adrar,20.5022,-10.0711,81.99,59,95,16.4,MR,1627791715
55,bubaque,11.2833,-15.8333,78.85,83,100,19.84,GW,1627791715
56,tomigusuku,26.185,127.675,89.73,79,40,18.41,JP,1627791716
57,parati,-23.2178,-44.7131,57.42,94,71,2.91,BR,1627791717
58,hithadhoo,-0.6,73.0833,81.52,72,62,5.66,MV,1627791718
59,mataura,-46.1927,168.8643,48.47,99,100,0.22,NZ,1627791718
60,cape town,-33.9258,18.4232,54.88,90,20,6.91,ZA,1627791511
61,sola,-13.8833,167.55,76.41,66,68,11.99,VU,1627791719
62,rovaniemi,66.5,25.7167,54.81,94,90,9.22,FI,1627791720
63,waitati,-45.75,170.5667,52.81,86,100,0.49,NZ,1627791720
64,sterling,39.0062,-77.4286,74.34,78,90,3.0,US,1627791542
65,san quintin,30.4833,-115.95,69.44,82,52,11.7,MX,1627791721
66,hobart,-42.8794,147.3294,50.11,75,75,1.01,AU,1627791705
67,along,28.1667,94.7667,80.29,88,87,0.98,IN,1627791722
68,saint-denis,48.9167,2.3333,57.69,89,0,2.3,FR,1627791722
69,colac,-38.3333,143.5833,56.16,70,18,11.63,AU,1627791723
70,sitka,57.0531,-135.33,60.69,82,90,4.61,US,1627791723
71,innisfail,-17.5333,146.0333,86.88,62,28,6.35,AU,1627791724
72,chokurdakh,70.6333,147.9167,49.77,53,93,14.5,RU,1627791724
73,cloquet,46.7216,-92.4594,67.68,82,40,3.44,US,1627791724
74,port alfred,-33.5906,26.891,63.88,32,65,8.32,ZA,1627791725
75,fairbanks,64.8378,-147.7164,78.1,48,1,1.99,US,1627791726
76,santa maria,-29.6842,-53.8069,47.66,85,76,2.71,BR,1627791715
